x,y,Nutriment/Item (unité),Year,Région/Province,Sexe,Âge (en années),code,ref_code
193.20608770145,0.003354467007933,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
215.40623271000598,0.004087470667964,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
237.60637771856202,0.004546332490742,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
259.806522727118,0.004688533512972,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
282.006667735674,0.004525028884349,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
304.20681274423,0.004121428502919,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
326.406957752786,0.003561908521278,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
348.607102761342,0.002926454912768,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
370.80724776989797,0.00229925808303,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
393.007392778454,0.001743772382665,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
415.20753778701004,0.0012819535442119999,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
437.407682795566,0.0009138002916410001,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
459.607827804122,0.000638128763047,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
481.807972812678,0.000445208003763,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
504.00811782123395,0.000310013868305,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
526.20826282979,0.00019596501883000002,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
548.4084078383461,9.31847027890266e-05,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
570.6085528469021,2.8449284212405897e-05,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
592.808697855458,5.13221075474207e-06,Magnésium (mg/j),2015,Canada excluant les territoires,Femmes,51 à 70 ans,13,251
73.2763660802741,2.65795630386595e-06,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
89.7681278443948,2.2040948361338603e-05,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
106.259889608515,0.000112138733857,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
122.75165137263599,0.00037035439513599997,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
139.243413136757,0.0008641192029239999,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
155.735174900877,0.001585855681039,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
172.22693666499802,0.002507305060663,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
188.718698429119,0.003567212807987,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
205.210460193239,0.004621736175289001,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
221.70222195736,0.005494520590560001,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
238.19398372147998,0.0060374993667800005,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
254.68574548560102,0.006167535584498,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
271.177507249722,0.005909033789598,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
287.669269013842,0.005357939958917,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
304.161030777963,0.004614563293493,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
320.652792542084,0.0037787760856279997,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
337.144554306204,0.0029553967089000002,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
353.636316070325,0.0022221106002600004,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
370.12807783444504,0.00160998411302,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
386.619839598566,0.0011274916371689999,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
403.111601362687,0.000771417101167,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
419.60336312680704,0.000512029962898,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
436.095124890928,0.00030185743434400005,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
452.586886655049,0.000134626161138,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
469.078648419169,3.94903628145942e-05,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
485.57041018329005,7.02344583752441e-06,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,9 à 13 ans,5,243
39.5965622788497,3.0708854499260397e-06,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
53.73929883828179,2.55023091456787e-05,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
67.8820353977139,0.000129921310561,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
82.02477195714592,0.00043108699875699997,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
96.16750851657801,0.0010177670190930001,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
110.31024507601002,0.0018944555363699998,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
124.45298163544201,0.0030107699354859994,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
138.595718194874,0.004254455047077,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
152.738454754306,0.005459667153438001,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
166.88119131373801,0.006455293348639,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
181.02392787317,0.0070899131536380005,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
195.166664432602,0.007251408261523001,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
209.309400992035,0.006919557484729,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
223.45213755146702,0.006211698573561,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
237.594874110899,0.005298510489882999,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
251.737610670331,0.0043188538906570005,Magnésium (mg/j),2015,Canada excluant les territoires,Les deux sexes,1 à 3 ans,2,240
